src	trg	nij	score
1086332	1219149	1	0.9992516514038732
1086332	59639	6	0.9996465433620124
1086332	559806	1	0.9956425137428413
1086332	684810	2	0.9995633952496443
1086332	1190852	3	0.9989192317592381
1086332	671691	2	0.9975699129338628
1086332	912572	1	0.998877687076135
1086332	422154	4	0.9991581472043172
1086332	1232216	1	0.998877687076135
1086332	734508	1	0.9990023263064489
1086332	1182159	3	0.9990854277623838
1086332	310431	1	0.997383227735869
1219149	870850	5	0.9998272544493976
59639	28748	8	0.9991743299975746
59639	899821	3	0.9999184219934306
559806	948782	1	0.9988249597728576
559806	300255	1	0.999496242206747
559806	1139635	1	0.99781888082221
559806	177293	1	0.9956425137428413
559806	387542	1	0.9869842571491232
559806	747126	4	0.9991185903681714
559806	219508	1	0.9958097582350223
559806	452573	1	0.9981541279213323
559806	711628	1	0.9968138141519356
559806	312439	2	0.9926368986999823
559806	1194745	1	0.9958097582350223
559806	365002	1	0.9959770307613469
559806	1176616	1	0.9903054499608398
559806	1235586	2	0.9995801842151664
559806	303951	1	0.9818582566331492
559806	603804	1	0.9938046725685732
559806	973422	1	0.9958097582350223
559806	918115	2	0.9971487239940866
559806	1234646	2	0.9942220664426471
559806	1197592	2	0.9791406716537517
559806	900848	1	0.9968138141519356
559806	984111	1	0.9981541279213323
559806	753137	3	0.999552202762589
559806	1110059	1	0.9989927381215046
684810	446791	1	0.999194109322908
684810	1111922	4	0.9996305528033606
1190852	1190472	1	0.9963881623698253
1190852	363997	2	0.9996257556856348
1190852	103139	1	0.9993763372768008
1190852	528880	1	0.9975076806572054
1190852	1235322	1	0.9992516514038732
1190852	215969	1	0.9995010387030845
1190852	1206252	1	0.9965124913171572
1190852	594497	1	0.9992516514038732
1190852	629257	1	0.9992516514038732
1190852	290259	1	0.9978811324915389
1190852	1235285	1	0.9991269810813922
1190852	571434	1	0.998877687076135
1190852	1143670	3	0.9994179026906009
1190852	1217603	1	0.9968855710904334
1190852	1236120	6	0.9997712784972198
671691	443464	1	0.9968233814457687
671691	622397	1	0.9979433880404899
671691	1062949	1	0.9916132439064602
671691	522896	1	0.993656837794914
671691	1232847	1	0.9998128603338283
671691	614631	8	0.9997426919876145
671691	1231107	1	0.9886482114610596
671691	986697	1	0.9985038626238989
671691	1234532	1	0.9990646517506602
671691	1100788	9	0.9995633952496443
671691	1232165	3	0.996450324907845
671691	1235534	7	0.9996524827775057
671691	699591	1	0.997196577428375
671691	113781	1	0.9994386860455912
912572	1118396	2	0.9998488460112742
912572	1103898	1	0.9997840727243065
912572	1039152	1	0.9993955210991922
912572	1219905	1	0.999050268610898
912572	1101911	1	0.9998272544493976
912572	1124419	1	0.9990934186511125
912572	37258	1	0.9994818528558064
422154	22853	1	0.9959913697111343
422154	1231645	1	0.9947016888067791
422154	261884	4	0.9996437449957867
422154	1235086	7	0.9997779040586662
422154	1218893	4	0.9998704380393917
422154	1131514	1	0.9983170028265722
422154	895552	2	0.9994171033394221
422154	533304	2	0.9993523580164885
422154	1235507	1	0.9990934186511125
1232216	1226941	1	0.9978859212421771
1232216	1151293	5	0.9996804441921692
1232216	115455	1	0.9968090305393984
1232216	1223462	1	0.9997408928639976
734508	1209995	1	0.9993859291419799
734508	1207041	1	0.9998080623413516
734508	1228938	3	0.9996289537615612
734508	836405	1	0.9996545387372431
734508	634500	1	0.9995394115022381
1182159	1219288	8	0.9978116981869213
1182159	56566	1	0.9904385286223266
1182159	1232165	8	0.9992480549267693
1182159	1072689	2	0.9987338918916326
310431	1131151	1	0.9992948101384235
310431	986655	1	0.9984894875526581
310431	806092	1	0.9990934186511125
310431	1015057	1	0.9972827193892588
310431	859994	1	0.9978859212421771
310431	783461	3	0.999194109322908
310431	270549	1	0.999194109322908
310431	465294	1	0.9976848134788913
310431	1216608	1	0.999194109322908
310431	1180476	1	0.9981876588195809
310431	224650	1	0.9967803293454773
310431	21564	1	0.9843022051664171
310431	1203143	1	0.999496242206747
310431	5697	1	0.9990934186511125
310431	1234192	1	0.9982882582668255
310431	473336	1	0.9985901173943068
310431	193983	1	0.9995969734626217
310431	730268	1	0.9995969734626217
807295	1185924	1	0.997699176976431
807295	1137536	1	0.9975459769839482
807295	1038501	1	0.9942578511922137
807295	1144657	1	0.9986188706390121
807295	1212955	1	0.9991557497757461
807295	1219379	1	0.997699176976431
807295	736051	2	0.9979290210309832
807295	492736	1	0.997775785785162
807295	197901	1	0.9995394115022381
807295	1137758	1	0.9931133758327315
807295	879151	1	0.9970865179576874
807295	480646	2	0.9981205981484056
807295	1221824	2	0.9954800745021618
1185924	1236110	6	0.9992324703421743
1185924	1236478	1	0.997699176976431
1185924	1151945	1	0.9974119462643362
1185924	1234232	4	0.9991006105055888
1185924	459783	1	0.9933993715053737
1185924	724014	2	0.9930418897366678
1185924	7481	4	0.9989927381215046
1185924	596601	1	0.995260345851127
1185924	1180225	1	0.999568192068168
1185924	1184517	1	0.9939716091497577
1185924	18201	1	0.9979864903087861
1185924	1173379	1	0.9991365705541778
1185924	465263	1	0.99511707062535
1185924	50032	2	0.997196577428375
1185924	1015138	2	0.9996401471078623
1137536	399534	2	0.9941815119456048
1137536	1191847	1	0.998158917980755
1137536	1078333	1	0.997699176976431
1137536	1014418	1	0.9880932504567593
1137536	628874	1	0.9992324703421743
1137536	1150544	4	0.9994626673767133
1137536	1001351	2	0.9973928004869328
1137536	76749	7	0.9996051968703626
1137536	703973	1	0.998312212009187
1137536	1235713	11	0.9987582920411665
1038501	560321	2	0.9974837461986594
1038501	667429	1	0.9971247981368692
1038501	1187651	1	0.9964072888922954
1038501	1182177	8	0.9995502041173715
1038501	434001	1	0.9974837461986594
1038501	847226	6	0.9989208296661527
1038501	65569	2	0.995869495204424
1038501	1235759	1	0.9971247981368692
1038501	1028967	2	0.9989208296661527
1038501	623606	5	0.9980583315554682
1038501	1196795	4	0.9844651919114241
1038501	313454	6	0.9996401471078623
1038501	1236009	1	0.9892604507746795
1038501	770190	1	0.9974837461986594
1038501	1234562	1	0.9942578511922137
1038501	528775	8	0.9988758895086318
1038501	1087793	4	0.9935424001224552
1038501	1226825	1	0.9935424001224552
1038501	204430	7	0.9969710027418415
1038501	1119609	1	0.9946157693347724
1038501	1195710	2	0.9965866178652828
1038501	732039	1	0.962216357845226
1038501	67309	2	0.9976632686198545
1038501	1158205	1	0.9967659790579178
1038501	428052	1	0.9935424001224552
1038501	27448	2	0.9967659790579178
1038501	1235340	1	0.9974837461986594
1038501	1195642	1	0.9956902950232485
1144657	923199	1	0.9986188706390121
1144657	859964	2	0.9994818528558064
1144657	1111922	1	0.9962064786829967
1144657	1137952	1	0.9976704501878978
1144657	1134434	1	0.9994818528558064
1144657	938773	1	0.9994818528558064
1144657	1176653	1	0.9991365705541778
1144657	315120	1	0.995260345851127
1144657	41252	1	0.9989639741185387
1144657	204511	1	0.9983601212167709
1144657	1012630	1	0.9948305818945917
1144657	275519	1	0.9989639741185387
1144657	582799	1	0.9987051353373362
1144657	1235592	1	0.9998272544493976
1144657	124720	1	0.9973257931563309
1144657	50032	1	0.9966368357511067
1212955	1148972	1	0.9998944297285884
1212955	525298	1	0.9967324958557315
1212955	1084230	1	0.9989975322024793
1212955	1224206	1	0.9964694526214434
1212955	60888	1	0.9995250215299585
1212955	1236118	2	0.9998680389021316
1212955	1097715	1	0.999050268610898
1212955	846497	1	0.9988920677325519
1212955	588092	1	0.9998944297285884
1219379	1205540	1	0.9979864903087861
1219379	943605	1	0.9938285189402275
1219379	1235777	1	0.9984176152983035
1219379	1191150	1	0.9968377325584181
1219379	858519	1	0.9921130369109873
1219379	1189406	1	0.9956902950232485
1219379	831120	2	0.99856136497691
1219379	677078	1	0.9944010030339864
1219379	327586	1	0.9971247981368692
1219379	1146253	9	0.9981301779687021
1219379	1147556	1	0.9813164975801775
1219379	313872	1	0.9971247981368692
1219379	120823	2	0.9948305818945917
1219379	55800	3	0.9994722600702374
1219379	1231255	1	0.9882639746959845
1219379	270005	1	0.9997121073263887
1219379	1175299	1	0.9978428233128481
736051	1093459	1	0.9968951390718958
736051	250043	1	0.9989639741185387
736051	1061532	2	0.9965077091482212
736051	1235072	1	0.9966368357511067
736051	443464	1	0.9956042903658303
736051	923199	1	0.9958623265792839
736051	926581	1	0.9981876588195809
736051	341129	1	0.9820231986341436
736051	1065990	1	0.9994818528558064
736051	473297	1	0.9987051353373362
736051	957572	1	0.9974119462643362
736051	1191295	1	0.9196598833727925
736051	728344	1	0.9866148676025455
736051	535875	1	0.9953463208644736
736051	588398	4	0.9912920808104457
736051	847933	1	0.9989639741185387
736051	1099177	2	0.9980583315554682
736051	1012784	2	0.9988345463483651
736051	658049	1	0.9976704501878978
736051	1209323	1	0.9894313755441839
736051	1236094	1	0.9981876588195809
736051	529023	1	0.9948305818945917
736051	1161687	1	0.9984463635796934
736051	1145784	1	0.9971535092343228
736051	1235355	1	0.9981876588195809
736051	1040042	1	0.9963785992460206
736051	873901	2	0.9984463635796934
736051	1234921	1	0.9794814311701758
736051	931545	1	0.9708879735551572
736051	1164221	1	0.9940574731342284
736051	97305	1	0.9992228799493433
736051	883899	1	0.9992228799493433
736051	506797	1	0.9971535092343228
736051	736349	1	0.9536756640196511
736051	107088	1	0.9989639741185387
736051	1231667	1	0.9708879735551572
736051	489399	1	0.9894313755441839
736051	1073067	1	0.9937999033626913
736051	377826	1	0.9827870022360721
736051	1140178	2	0.9927702893318734
736051	696226	1	0.9989639741185387
736051	1039158	1	0.9987051353373362
736051	732039	1	0.9726511099540872
736051	1226006	1	0.9907142481836897
492736	860583	1	0.9979146542280984
492736	11758	2	0.9989567832471381
492736	349001	1	0.9968042469497806
492736	757228	1	0.9922368339284775
492736	1224206	1	0.9907190026390895
492736	1232455	4	0.9988525214252955
492736	747800	1	0.9984703211126855
492736	1236339	1	0.998887274157422
492736	273638	1	0.9890658222229647
492736	1209299	1	0.9926511896992343
492736	39462	1	0.9980535419782918
492736	1043629	1	0.9976369366454566
492736	819767	1	0.9993044012213755
492736	808353	1	0.9990262971712254
492736	982100	1	0.9991653395245313
492736	596379	1	0.9981924490397686
492736	1201996	1	0.9987482704790863
492736	506787	1	0.9994434822657948
492736	297698	1	0.9990262971712254
492736	566064	1	0.9990262971712254
492736	877926	1	0.997775785785162
492736	132937	1	0.9993044012213755
492736	57255	1	0.9983313754165568
492736	1143638	1	0.9990262971712254
197901	1206850	1	0.9999424148339388
197901	1038274	2	0.9995825826618272
197901	1191847	1	0.9996545387372431
197901	170939	1	0.9952316891597528
1137758	1222765	13	0.9994353655989295
1137758	871004	6	0.9974837461986594
1137758	708547	3	0.9988489263840461
1137758	1235071	6	0.999568192068168
1137758	163219	1	0.9871263666315423
1137758	1009625	1	0.9935424001224552
1137758	1114957	1	0.9944010030339864
1137758	835792	2	0.9828719056432313
1137758	1229559	4	0.9931133758327315
1137758	1216289	5	0.9976704501878978
1137758	1180121	1	0.9956902950232485
1137758	965415	1	0.9965507494933913
1137758	1214482	1	0.9944010030339864
1137758	1212815	1	0.9697980867395167
1137758	876625	4	0.9988129766827855
1137758	771473	3	0.9959770307613469
1137758	1079503	1	0.9961204295307157
1137758	466601	1	0.9913991236662669
1137758	1225313	1	0.9956902950232485
1137758	1126785	1	0.9799046062633019
1137758	1035216	1	0.9956902950232485
1137758	172699	3	0.9994242975230401
1137758	509481	3	0.9865580506313426
1137758	141930	2	0.9892604507746795
1137758	900150	6	0.997699176976431
1137758	841700	3	0.9992804236865334
1137758	430316	1	0.9922558809891439
1137758	283674	1	0.9702171312951766
1137758	210260	1	0.9944010030339864
1137758	1024764	1	0.9832965317699014
1137758	1148440	10	0.9984032414677712
879151	1216449	3	0.9993923237698954
879151	1110777	1	0.9932754299707295
879151	1101160	16	0.9979960688431851
879151	111297	1	0.9961777948079318
879151	1235211	3	0.9995745878620002
