src	trg	nij	score
807295	1092821	1	0.9847492975697362
807295	845261	1	0.9952680469409744
807295	634859	2	0.997820517025844
807295	606333	2	0.9988149088117911
807295	638312	1	0.9869939682171441
807295	1110327	1	0.9960236541598695
807295	629913	1	0.9989570455946116
807295	695955	1	0.9988622854934107
807295	588398	1	0.9750807102502018
807295	1025849	1	0.9987675343759458
807295	539705	1	0.9994309809013846
807295	1153279	1	0.9970635490252513
807295	778375	1	0.998388619717899
807295	837341	2	0.9996206179549849
807295	57566	1	0.9994309809013846
807295	167672	2	0.9951264342714674
807295	295922	1	0.9949848417022422
807295	8243	1	0.9992413798134087
807295	1079988	2	0.9996206179549849
807295	451997	1	0.9991465927533325
807295	525974	1	0.9990518146808263
1092821	715285	2	0.9660099025703285
1092821	941577	1	0.9952825724540088
1092821	1155549	2	0.9574797835243535
1092821	483904	2	0.9976385011771052
1092821	1132474	3	0.9628735739198315
1092821	845261	1	0.9708767186331473
1092821	512172	1	0.9882480105042474
1092821	856221	1	0.9577629280941173
1092821	291829	1	0.9923454645241722
1092821	1107158	1	0.989416990883224
1092821	1158110	3	0.9960672643453816
1092821	824687	1	0.9888323289202045
1092821	317459	1	0.9303986476968588
1092821	1067844	1	0.9588963259705034
1092821	998631	5	0.9983463650654308
1092821	1126301	1	0.9952825724540088
1092821	1158248	2	0.9932256885671222
1092821	1156230	1	0.9824236550117899
1092821	1135863	3	0.9468739899913694
1092821	1152543	1	0.9853315610478698
1092821	1116756	1	0.9917590802726626
1092821	1158209	1	0.9917590802726626
1092821	1008833	1	0.9801034562478326
1092821	677558	1	0.9952825724540088
1092821	1074840	1	0.9731753322486357
1092821	843649	3	0.9984250475766878
1092821	1156804	3	0.9847492975697362
1092821	791411	5	0.9945768770613252
1092821	1018070	2	0.996754376219158
1092821	1120829	2	0.9844582938877616
1092821	1051109	8	0.9990399680536378
1092821	922709	1	0.9946944582925471
1092821	1004791	1	0.9783668681764865
1092821	118157	2	0.9682971713780443
1092821	871238	2	0.9923454645241722
1092821	1004474	4	0.9946944582925471
1092821	530475	5	0.9963420523402634
1092821	541884	1	0.9870804031030233
1092821	1058680	1	0.9107767816059901
1092821	741989	1	0.9917590802726626
1092821	563517	3	0.9939108451703254
1092821	885388	1	0.9882480105042474
1092821	1029322	1	0.9760561501663668
1092821	167933	1	0.9420319635512066
1092821	1155946	1	0.8613739006417875
1092821	1005766	2	0.9879559800318055
1092821	1014609	2	0.9888323289202045
1092821	625190	1	0.998818553092182
1092821	264779	1	0.9806829966287385
1092821	196653	2	0.997048997569977
1092821	952471	1	0.9976385011771052
1092821	121873	1	0.9657243676866638
1092821	7576	3	0.9903921917494853
1092821	1116505	2	0.9801034562478326
1092821	924811	1	0.9487427431768977
1092821	258435	1	0.9976385011771052
1092821	463330	2	0.9949884720298872
1092821	570777	2	0.9926387861449232
1092821	1156495	2	0.997048997569977
1092821	1147556	1	0.8957889494507927
1092821	608729	1	0.9634430709826242
1092821	986516	1	0.9958710335159934
1092821	216546	1	0.9789453923189672
1092821	119331	1	0.9210827898239625
1092821	296	1	0.9941066907249498
1092821	1156001	2	0.968583454239869
1092821	1067208	1	0.814461245134126
1092821	69328	1	0.9911730410871327
1092821	488653	1	0.997048997569977
1092821	680749	1	0.9946944582925471
