src	trg	nij	score
1086332	807295	2	0.9987060692540489
1086332	62861	1	0.9967037820330986
1086332	762958	1	0.9961877138128964
1086332	1142378	2	0.9996440020640689
1086332	1035274	1	0.9993528252772065
1086332	1080653	1	0.9998058035955104
1086332	182848	3	0.9998058035955104
1086332	194235	6	0.9998813199380706
1086332	1069699	1	0.9983182164469807
807295	89232	1	0.9944050326014446
807295	1112596	1	0.9909775082169121
807295	650475	1	0.9559623217564421
807295	30994	1	0.9988497566516417
807295	1137261	1	0.9848658990155695
807295	587295	1	0.9942619834888575
807295	205515	1	0.9945481022374302
807295	1152877	1	0.9985624025129204
807295	1070765	1	0.9988497566516417
807295	681164	1	0.9987060692540489
807295	568801	2	0.9979879420239866
807295	1164003	2	0.9966966125916511
807295	1147343	1	0.9616201381392823
807295	788826	1	0.9992809428277643
807295	1155030	1	0.9969834304142038
807295	448700	1	0.9968400112035967
807295	1164728	2	0.999784228545125
807295	76830	1	0.9984187564238021
807295	373649	1	0.9948343030972657
807295	164580	1	0.9991371934340421
807295	1008667	1	0.9991371934340421
807295	496885	1	0.9982751309822411
807295	1016426	2	0.9964098771459959
807295	24894	1	0.9932612139851317
807295	647597	1	0.9985624025129204
807295	1092648	2	0.9965532345739295
807295	94563	2	0.9939044504682816
807295	50032	1	0.9956933986979709
807295	522476	1	0.9974138116823873
807295	29761	2	0.9914053043596593
807295	1101886	1	0.9794960878820456
62861	1159413	1	0.9899622286357398
62861	1116481	1	0.9961554684064579
62861	574689	1	0.9979843526843859
62861	443464	1	0.9978013134637217
62861	956996	11	0.999816591295279
62861	473103	1	0.9976183077771411
62861	842163	2	0.9974353356154296
62861	1116691	1	0.9994498747835905
62861	325010	2	0.9993582166692884
62861	743774	3	0.999755462535422
62861	1119042	1	0.9994498747835905
62861	451805	2	0.9994498747835905
62861	1039416	1	0.9981674254483519
62861	1154672	1	0.9723242422683978
62861	568899	5	0.9957900932603807
62861	567162	3	0.9989000521217132
62861	677078	1	0.9921436849449288
62861	1101701	1	0.9989000521217132
62861	1164647	6	0.9997248995568725
62861	1129832	1	0.9983505317648411
62861	594689	1	0.9989000521217132
62861	330960	1	0.9974353356154296
62861	237971	1	0.9978013134637217
62861	454692	1	0.9967037820330986
762958	523446	10	0.9997666092659717
762958	808533	1	0.9961877138128964
762958	1157214	5	0.9978379186248328
762958	218407	2	0.994814624158901
762958	791088	1	0.9921793693698535
762958	1147343	1	0.9439010577978508
762958	1134637	2	0.9972452235876383
762958	77734	10	0.9984733395051435
762958	621254	1	0.9426990354349276
762958	135384	2	0.9972452235876383
762958	179451	2	0.9966105833099952
